,RF_SHAP
ENSG00000105639,0.0034366806091174953
ENSG00000168334,0.0024331268818852205
ENSG00000122877,0.0023869123091356413
ENSG00000143412,0.002327239882854107
ENSG00000175356,0.0022422437727294578
ENSG00000103254,0.002157486701207757
ENSG00000137731,0.00197930246051601
ENSG00000159753,0.001787646365888433
ENSG00000076344,0.0015987997291935878
ENSG00000171428,0.0015433324770187007
ENSG00000103522,0.0015431625509574858
ENSG00000134545,0.0015325629757354233
ENSG00000106689,0.001440083769291715
ENSG00000151790,0.0014207517193646243
ENSG00000161526,0.001387864839980196
ENSG00000203710,0.0013290589008309486
ENSG00000162076,0.0013276467893305966
ENSG00000172236,0.001269964478702159
ENSG00000091490,0.0012499991688850471
ENSG00000051341,0.0012262854642457544
ENSG00000187118,0.0011703379165444816
ENSG00000125910,0.0011392328712254438
ENSG00000136490,0.001125403525309653
ENSG00000173762,0.0011068204027796585
ENSG00000132749,0.0010973875407186099
ENSG00000092929,0.001076319102698612
ENSG00000023445,0.0010716543927030077
ENSG00000122687,0.0010597126796205022
ENSG00000169245,0.001053260611987758
ENSG00000178199,0.001053184035729578
